Name,Short Name,Type,Family,Tradition,General Personality,major_id,Major Name,floor_id,Wing,Room,Class Schedule,Wing Name,Flight Name
,,Black,chromatic,arcane,loaners with mean streaks & like swamps,11,Arcanomechanics,3,Stellar,,,,
,,Black,chromatic,arcane,loaners with mean streaks & like swamps,2,Dragon History,6,Eclipse,,,,
,,White,chromatic,arcane,brutish and predatory survivalists,6,Arcane Artifice and Enchantment Studies,6,Eclipse,,,,
,,Black,chromatic,arcane,loaners with mean streaks & like swamps,10,Eldritch Engineering,9,Nexus,,,,
,,Red,chromatic,arcane,proud and arrogant,12,Elemental Binding,14,Elysium,,,,
,,White,chromatic,arcane,brutish and predatory survivalists,7,Planar Studies,13,Nova,,,,
,,Brass,metallic,arcane,curious & short attention span,5,Mineral Extraction & Refinement,17,Nightshade,,,,
,,Copper,metallic,arcane,prankster & hedonist,3,Ancient Relics and Artifacts: ,18,Enigma,,,,
,,Blue,chromatic,arcane,poised cosmopolitan manipulators,11,Arcanomechanics,8,Wraith,,,,
,,White,chromatic,arcane,brutish and predatory survivalists,11,Arcanomechanics,10,Echo,,,,
,,White,chromatic,arcane,brutish and predatory survivalists,3,Ancient Relics and Artifacts: ,19,Shadow,,,,
,,Red,chromatic,arcane,proud and arrogant,8,Political Intrigue and Diplomacy,4,Wisp,,,,
,,Sky,imperial,divine,religious traditionalist,4,Economic Dominance and Resource Management,8,Wraith,,,,
,,Silver,metallic,divine,"chivalrous champions of justice, guardians and guides of goodly societies",1,Prophecy,19,Shadow,,,,
,,Paradise,planar,divine,defender and champion of righteousnous,4,Economic Dominance and Resource Management,14,Elysium,,,,
,,Silver,metallic,divine,"chivalrous champions of justice, guardians and guides of goodly societies",7,Planar Studies,12,Whirlwind,,,,
,,Blue,chromatic,arcane,poised cosmopolitan manipulators,11,Arcanomechanics,19,Shadow,,,,
,,Silver,metallic,divine,"chivalrous champions of justice, guardians and guides of goodly societies",8,Political Intrigue and Diplomacy,2,Empyrean,,,,
,,Blue,chromatic,arcane,poised cosmopolitan manipulators,9,Magical Theory and Application,15,Seraphic,,,,
,,Indigo,wild,arcane,party going revelers,7,Planar Studies,19,Shadow,,,,
,,Brass,metallic,arcane,curious & short attention span,4,Economic Dominance and Resource Management,7,Starlight,,,,
,,Blue,chromatic,arcane,poised cosmopolitan manipulators,4,Economic Dominance and Resource Management,4,Wisp,,,,
,,Amber,wild,arcane,gossip & information broker,6,Arcane Artifice and Enchantment Studies,18,Enigma,,,,
,,Bronze,metallic,arcane,stoic scholars and guardians of lore,5,Mineral Extraction & Refinement,20,Whisper,,,,
,,Soverign,imperial,Occult,"subtle manipulators, negotiators",3,Ancient Relics and Artifacts: ,11,Sunfire,,,,
,,Umbral,primal,primal,malicious hunters of the undead,3,Ancient Relics and Artifacts: ,18,Enigma,,,,
,,Topaz,jewel,arcane,selfish and unsociable,11,Arcanomechanics,1,Exalted,,,,
,,Edict,planar,divine,"planner, order bringer, & corruption purger",10,Eldritch Engineering,6,Eclipse,,,,
,,Brass,metallic,arcane,curious & short attention span,1,Prophecy,1,Exalted,,,,
,,Soverign,imperial,Occult,"subtle manipulators, negotiators",9,Magical Theory and Application,20,Whisper,,,,
,,Black,chromatic,arcane,loaners with mean streaks & like swamps,2,Dragon History,18,Enigma,,,,
,,Silver,metallic,divine,"chivalrous champions of justice, guardians and guides of goodly societies",9,Magical Theory and Application,20,Whisper,,,,
,,Silver,metallic,divine,"chivalrous champions of justice, guardians and guides of goodly societies",9,Magical Theory and Application,20,Whisper,,,,
,,Green,chromatic,arcane,obessive and meticulous scholars,8,Political Intrigue and Diplomacy,2,Empyrean,,,,
,,Occult,esoteric,Occult,eclectic seekers,7,Planar Studies,17,Nightshade,,,,
,,Havoc,planar,divine,passionate artists,6,Arcane Artifice and Enchantment Studies,8,Wraith,,,,
,,Black,chromatic,arcane,loaners with mean streaks & like swamps,12,Elemental Binding,19,Shadow,,,,
,,Sapphire,jewel,Occult,Militaristic and warlike,6,Arcane Artifice and Enchantment Studies,7,Starlight,,,,
,,Harlequin,wild,arcane,clever and insightful jesters,12,Elemental Binding,3,Stellar,,,,
,,White,chromatic,arcane,brutish and predatory survivalists,10,Eldritch Engineering,5,Nebula,,,,
,,White,chromatic,arcane,brutish and predatory survivalists,4,Economic Dominance and Resource Management,6,Eclipse,,,,
,,Nightmare,esoteric,Occult,artists of terror,2,Dragon History,20,Whisper,,,,
,,Green,chromatic,arcane,obessive and meticulous scholars,1,Prophecy,5,Nebula,,,,
,,Brass,metallic,arcane,curious & short attention span,7,Planar Studies,17,Nightshade,,,,
,,Vermillion,wild,arcane,thrill seekers who love to tell tall tales,2,Dragon History,10,Echo,,,,
,,Underworld,imperial,arcane,natural alchemists and hoarders,8,Political Intrigue and Diplomacy,11,Sunfire,,,,
,,Brine,primal,primal,rigid courtsey & discipline,10,Eldritch Engineering,8,Wraith,,,,
,,White,chromatic,arcane,brutish and predatory survivalists,4,Economic Dominance and Resource Management,3,Stellar,,,,
,,Soverign,imperial,Occult,"subtle manipulators, negotiators",4,Economic Dominance and Resource Management,15,Seraphic,,,,
,,Copper,metallic,arcane,prankster & hedonist,1,Prophecy,18,Enigma,,,,
,,Green,chromatic,arcane,obessive and meticulous scholars,1,Prophecy,2,Empyrean,,,,
,,Copper,metallic,arcane,prankster & hedonist,12,Elemental Binding,15,Seraphic,,,,
,,Bronze,metallic,arcane,stoic scholars and guardians of lore,11,Arcanomechanics,2,Empyrean,,,,
,,Soverign,imperial,Occult,"subtle manipulators, negotiators",6,Arcane Artifice and Enchantment Studies,7,Starlight,,,,
,,Cloud,primal,primal,wander & exlpore,12,Elemental Binding,6,Eclipse,,,,
,,Cloud,primal,primal,wander & exlpore,12,Elemental Binding,9,Nexus,,,,
,,Brass,metallic,arcane,curious & short attention span,8,Political Intrigue and Diplomacy,8,Wraith,,,,
,,Bronze,metallic,arcane,stoic scholars and guardians of lore,12,Elemental Binding,19,Shadow,,,,
,,Red,chromatic,arcane,proud and arrogant,10,Eldritch Engineering,19,Shadow,,,,
,,Silver,metallic,divine,"chivalrous champions of justice, guardians and guides of goodly societies",10,Eldritch Engineering,18,Enigma,,,,
,,White,chromatic,arcane,brutish and predatory survivalists,7,Planar Studies,5,Nebula,,,,
,,Vermillion,wild,arcane,thrill seekers who love to tell tall tales,5,Mineral Extraction & Refinement,19,Shadow,,,,
,,Cloud,primal,primal,wander & exlpore,6,Arcane Artifice and Enchantment Studies,3,Stellar,,,,
,,Sapphire,jewel,Occult,Militaristic and warlike,7,Planar Studies,15,Seraphic,,,,
,,Underworld,imperial,arcane,natural alchemists and hoarders,8,Political Intrigue and Diplomacy,10,Echo,,,,
,,Sapphire,jewel,Occult,Militaristic and warlike,7,Planar Studies,2,Empyrean,,,,
,,Vermillion,wild,arcane,thrill seekers who love to tell tall tales,5,Mineral Extraction & Refinement,6,Eclipse,,,,
,,Gold,metallic,divine,wise counselor and leader,3,Ancient Relics and Artifacts: ,9,Nexus,,,,
,,Brass,metallic,arcane,curious & short attention span,8,Political Intrigue and Diplomacy,5,Nebula,,,,
,,Brass,metallic,arcane,curious & short attention span,3,Ancient Relics and Artifacts: ,9,Nexus,,,,
,,Red,chromatic,arcane,proud and arrogant,12,Elemental Binding,2,Empyrean,,,,
,,Blue,chromatic,arcane,poised cosmopolitan manipulators,3,Ancient Relics and Artifacts: ,12,Whirlwind,,,,
,,Copper,metallic,arcane,prankster & hedonist,8,Political Intrigue and Diplomacy,6,Eclipse,,,,
,,Green,chromatic,arcane,obessive and meticulous scholars,6,Arcane Artifice and Enchantment Studies,3,Stellar,,,,
,,Bronze,metallic,arcane,stoic scholars and guardians of lore,11,Arcanomechanics,7,Starlight,,,,
,,Green,chromatic,arcane,obessive and meticulous scholars,3,Ancient Relics and Artifacts: ,9,Nexus,,,,
,,White,chromatic,arcane,brutish and predatory survivalists,9,Magical Theory and Application,11,Sunfire,,,,
,,Emerald,jewel,arcane,"inquisitive, knowledgeable sage",7,Planar Studies,9,Nexus,,,,
,,Green,chromatic,arcane,obessive and meticulous scholars,1,Prophecy,5,Nebula,,,,
,,Red,chromatic,arcane,proud and arrogant,5,Mineral Extraction & Refinement,13,Nova,,,,
,,Brine,primal,primal,rigid courtsey & discipline,5,Mineral Extraction & Refinement,17,Nightshade,,,,
,,Brass,metallic,arcane,curious & short attention span,9,Magical Theory and Application,10,Echo,,,,
,,Gold,metallic,divine,wise counselor and leader,1,Prophecy,13,Nova,,,,
,,Black,chromatic,arcane,loaners with mean streaks & like swamps,10,Eldritch Engineering,15,Seraphic,,,,
,,Red,chromatic,arcane,proud and arrogant,6,Arcane Artifice and Enchantment Studies,17,Nightshade,,,,
,,White,chromatic,arcane,brutish and predatory survivalists,1,Prophecy,20,Whisper,,,,
,,Topaz,jewel,arcane,selfish and unsociable,10,Eldritch Engineering,5,Nebula,,,,
,,Brass,metallic,arcane,curious & short attention span,6,Arcane Artifice and Enchantment Studies,2,Empyrean,,,,
,,Moonstone,jewel,divine,wise and gentle storytellers and teachers,8,Political Intrigue and Diplomacy,3,Stellar,,,,
,,Bronze,metallic,arcane,stoic scholars and guardians of lore,3,Ancient Relics and Artifacts: ,19,Shadow,,,,
,,Green,chromatic,arcane,obessive and meticulous scholars,6,Arcane Artifice and Enchantment Studies,7,Starlight,,,,
,,Blue,chromatic,arcane,poised cosmopolitan manipulators,5,Mineral Extraction & Refinement,12,Whirlwind,,,,
,,Brine,primal,primal,rigid courtsey & discipline,6,Arcane Artifice and Enchantment Studies,10,Echo,,,,
,,Gold,metallic,divine,wise counselor and leader,9,Magical Theory and Application,13,Nova,,,,
,,Brass,metallic,arcane,curious & short attention span,3,Ancient Relics and Artifacts: ,4,Wisp,,,,
,,Gold,metallic,divine,wise counselor and leader,2,Dragon History,14,Elysium,,,,
,,Bronze,metallic,arcane,stoic scholars and guardians of lore,11,Arcanomechanics,9,Nexus,,,,
,,Crypt,planar,divine,independent & decisive,7,Planar Studies,4,Wisp,,,,
,,Gold,metallic,divine,wise counselor and leader,9,Magical Theory and Application,12,Whirlwind,,,,
,,Cerulean,wild,arcane,explorers and adventurers,12,Elemental Binding,4,Wisp,,,,
,,Bronze,metallic,arcane,stoic scholars and guardians of lore,5,Mineral Extraction & Refinement,9,Nexus,,,,
,,Bronze,metallic,arcane,stoic scholars and guardians of lore,2,Dragon History,13,Nova,,,,
,,Blue,chromatic,arcane,poised cosmopolitan manipulators,10,Eldritch Engineering,5,Nebula,,,,
,,Brass,metallic,arcane,curious & short attention span,3,Ancient Relics and Artifacts: ,12,Whirlwind,,,,
,,Bronze,metallic,arcane,stoic scholars and guardians of lore,9,Magical Theory and Application,13,Nova,,,,
,,Silver,metallic,divine,"chivalrous champions of justice, guardians and guides of goodly societies",11,Arcanomechanics,10,Echo,,,,
,,Time,outer,arcane,patient watchers and guardians of history,5,Mineral Extraction & Refinement,15,Seraphic,,,,
,,Brass,metallic,arcane,curious & short attention span,6,Arcane Artifice and Enchantment Studies,4,Wisp,,,,
,,Bronze,metallic,arcane,stoic scholars and guardians of lore,4,Economic Dominance and Resource Management,12,Whirlwind,,,,
,,Copper,metallic,arcane,prankster & hedonist,9,Magical Theory and Application,9,Nexus,,,,
,,Copper,metallic,arcane,prankster & hedonist,11,Arcanomechanics,20,Whisper,,,,
,,Magma,primal,primal,"brash, unpredictable, & violent",4,Economic Dominance and Resource Management,8,Wraith,,,,
,,Gold,metallic,divine,wise counselor and leader,9,Magical Theory and Application,19,Shadow,,,,
,,Bronze,metallic,arcane,stoic scholars and guardians of lore,6,Arcane Artifice and Enchantment Studies,5,Nebula,,,,
,,Brass,metallic,arcane,curious & short attention span,2,Dragon History,13,Nova,,,,
,,Blue,chromatic,arcane,poised cosmopolitan manipulators,4,Economic Dominance and Resource Management,7,Starlight,,,,
,,Moonstone,jewel,divine,wise and gentle storytellers and teachers,12,Elemental Binding,7,Starlight,,,,
,,Silver,metallic,divine,"chivalrous champions of justice, guardians and guides of goodly societies",1,Prophecy,13,Nova,,,,
,,Vermillion,wild,arcane,thrill seekers who love to tell tall tales,4,Economic Dominance and Resource Management,20,Whisper,,,,
,,Silver,metallic,divine,"chivalrous champions of justice, guardians and guides of goodly societies",1,Prophecy,8,Wraith,,,,
,,Blue,chromatic,arcane,poised cosmopolitan manipulators,3,Ancient Relics and Artifacts: ,10,Echo,,,,
,,Bronze,metallic,arcane,stoic scholars and guardians of lore,3,Ancient Relics and Artifacts: ,6,Eclipse,,,,
,,Bronze,metallic,arcane,stoic scholars and guardians of lore,7,Planar Studies,9,Nexus,,,,
,,Copper,metallic,arcane,prankster & hedonist,11,Arcanomechanics,12,Whirlwind,,,,
,,Red,chromatic,arcane,proud and arrogant,6,Arcane Artifice and Enchantment Studies,7,Starlight,,,,
,,Cerulean,wild,arcane,explorers and adventurers,10,Eldritch Engineering,7,Starlight,,,,
,,Brass,metallic,arcane,curious & short attention span,7,Planar Studies,12,Whirlwind,,,,
,,Bronze,metallic,arcane,stoic scholars and guardians of lore,5,Mineral Extraction & Refinement,10,Echo,,,,
,,Vermillion,wild,arcane,thrill seekers who love to tell tall tales,6,Arcane Artifice and Enchantment Studies,11,Sunfire,,,,
,,Red,chromatic,arcane,proud and arrogant,6,Arcane Artifice and Enchantment Studies,12,Whirlwind,,,,
,,Gold,metallic,divine,wise counselor and leader,10,Eldritch Engineering,20,Whisper,,,,
,,Red,chromatic,arcane,proud and arrogant,8,Political Intrigue and Diplomacy,8,Wraith,,,,
,,Black,chromatic,arcane,loaners with mean streaks & like swamps,3,Ancient Relics and Artifacts: ,19,Shadow,,,,
,,White,chromatic,arcane,brutish and predatory survivalists,6,Arcane Artifice and Enchantment Studies,2,Empyrean,,,,
,,Silver,metallic,divine,"chivalrous champions of justice, guardians and guides of goodly societies",6,Arcane Artifice and Enchantment Studies,10,Echo,,,,
,,Black,chromatic,arcane,loaners with mean streaks & like swamps,8,Political Intrigue and Diplomacy,3,Stellar,,,,
,,Brass,metallic,arcane,curious & short attention span,10,Eldritch Engineering,12,Whirlwind,,,,
,,Blue,chromatic,arcane,poised cosmopolitan manipulators,3,Ancient Relics and Artifacts: ,10,Echo,,,,
,,Vortex,outer,arcane,interplanetary messengers,6,Arcane Artifice and Enchantment Studies,8,Wraith,,,,
,,Apocolypse,planar,divine,despoiler & destroyer,2,Dragon History,8,Wraith,,,,
,,Black,chromatic,arcane,loaners with mean streaks & like swamps,3,Ancient Relics and Artifacts: ,5,Nebula,,,,
,,Silver,metallic,divine,"chivalrous champions of justice, guardians and guides of goodly societies",8,Political Intrigue and Diplomacy,19,Shadow,,,,
,,Silver,metallic,divine,"chivalrous champions of justice, guardians and guides of goodly societies",6,Arcane Artifice and Enchantment Studies,11,Sunfire,,,,
,,Silver,metallic,divine,"chivalrous champions of justice, guardians and guides of goodly societies",3,Ancient Relics and Artifacts: ,6,Eclipse,,,,
,,Crystal,primal,primal,build beautiful homes,8,Political Intrigue and Diplomacy,13,Nova,,,,
,,Gold,metallic,divine,wise counselor and leader,7,Planar Studies,14,Elysium,,,,
,,Havoc,planar,divine,passionate artists,11,Arcanomechanics,14,Elysium,,,,
,,Red,chromatic,arcane,proud and arrogant,2,Dragon History,19,Shadow,,,,
,,Copper,metallic,arcane,prankster & hedonist,10,Eldritch Engineering,15,Seraphic,,,,
,,Blue,chromatic,arcane,poised cosmopolitan manipulators,9,Magical Theory and Application,15,Seraphic,,,,
,,Underworld,imperial,arcane,natural alchemists and hoarders,7,Planar Studies,19,Shadow,,,,
,,Blue,chromatic,arcane,poised cosmopolitan manipulators,7,Planar Studies,14,Elysium,,,,
,,Gold,metallic,divine,wise counselor and leader,10,Eldritch Engineering,6,Eclipse,,,,
,,Copper,metallic,arcane,prankster & hedonist,9,Magical Theory and Application,3,Stellar,,,,
,,Gold,metallic,divine,wise counselor and leader,6,Arcane Artifice and Enchantment Studies,11,Sunfire,,,,
,,Bronze,metallic,arcane,stoic scholars and guardians of lore,1,Prophecy,2,Empyrean,,,,
,,Blue,chromatic,arcane,poised cosmopolitan manipulators,9,Magical Theory and Application,13,Nova,,,,
,,Copper,metallic,arcane,prankster & hedonist,12,Elemental Binding,17,Nightshade,,,,
,,Copper,metallic,arcane,prankster & hedonist,4,Economic Dominance and Resource Management,11,Sunfire,,,,
,,Moonstone,jewel,divine,wise and gentle storytellers and teachers,7,Planar Studies,17,Nightshade,,,,
,,Black,chromatic,arcane,loaners with mean streaks & like swamps,10,Eldritch Engineering,19,Shadow,,,,
,,Magma,primal,primal,"brash, unpredictable, & violent",1,Prophecy,17,Nightshade,,,,
,,Green,chromatic,arcane,obessive and meticulous scholars,10,Eldritch Engineering,20,Whisper,,,,
,,Brass,metallic,arcane,curious & short attention span,10,Eldritch Engineering,8,Wraith,,,,
,,Green,chromatic,arcane,obessive and meticulous scholars,9,Magical Theory and Application,1,Exalted,,,,
,,Copper,metallic,arcane,prankster & hedonist,2,Dragon History,14,Elysium,,,,
,,Blue,chromatic,arcane,poised cosmopolitan manipulators,11,Arcanomechanics,1,Exalted,,,,
,,Black,chromatic,arcane,loaners with mean streaks & like swamps,7,Planar Studies,9,Nexus,,,,
,,Indigo,wild,arcane,party going revelers,4,Economic Dominance and Resource Management,1,Exalted,,,,
,,Occult,esoteric,Occult,eclectic seekers,11,Arcanomechanics,14,Elysium,,,,
,,Red,chromatic,arcane,proud and arrogant,8,Political Intrigue and Diplomacy,17,Nightshade,,,,
,,Green,chromatic,arcane,obessive and meticulous scholars,6,Arcane Artifice and Enchantment Studies,7,Starlight,,,,
,,White,chromatic,arcane,brutish and predatory survivalists,5,Mineral Extraction & Refinement,14,Elysium,,,,
,,Blue,chromatic,arcane,poised cosmopolitan manipulators,4,Economic Dominance and Resource Management,1,Exalted,,,,
,,Green,chromatic,arcane,obessive and meticulous scholars,2,Dragon History,4,Wisp,,,,
,,Void,outer,arcane,corrupted destroyers,10,Eldritch Engineering,20,Whisper,,,,
,,Red,chromatic,arcane,proud and arrogant,7,Planar Studies,4,Wisp,,,,
,,Silver,metallic,divine,"chivalrous champions of justice, guardians and guides of goodly societies",12,Elemental Binding,20,Whisper,,,,
,,Bronze,metallic,arcane,stoic scholars and guardians of lore,8,Political Intrigue and Diplomacy,11,Sunfire,,,,
,,White,chromatic,arcane,brutish and predatory survivalists,1,Prophecy,13,Nova,,,,
,,White,chromatic,arcane,brutish and predatory survivalists,1,Prophecy,3,Stellar,,,,
,,rift,planar,divine,rampagers who break things,2,Dragon History,6,Eclipse,,,,
,,Brass,metallic,arcane,curious & short attention span,1,Prophecy,6,Eclipse,,,,
,,Red,chromatic,arcane,proud and arrogant,5,Mineral Extraction & Refinement,6,Eclipse,,,,
,,Green,chromatic,arcane,obessive and meticulous scholars,1,Prophecy,20,Whisper,,,,
,,Black,chromatic,arcane,loaners with mean streaks & like swamps,5,Mineral Extraction & Refinement,17,Nightshade,,,,
,,Amber,wild,arcane,gossip & information broker,1,Prophecy,11,Sunfire,,,,
,,Toadstool,leshy,primal,communal gourmands,12,Elemental Binding,7,Starlight,,,,
,,Harlequin,wild,arcane,clever and insightful jesters,11,Arcanomechanics,6,Eclipse,,,,
,,Amethyst,jewel,arcane/divine,deception and stealth,11,Arcanomechanics,3,Stellar,,,,
,,Gold,metallic,divine,wise counselor and leader,6,Arcane Artifice and Enchantment Studies,4,Wisp,,,,
,,Black,chromatic,arcane,loaners with mean streaks & like swamps,6,Arcane Artifice and Enchantment Studies,17,Nightshade,,,,
,,Bronze,metallic,arcane,stoic scholars and guardians of lore,3,Ancient Relics and Artifacts: ,13,Nova,,,,
,,Bronze,metallic,arcane,stoic scholars and guardians of lore,11,Arcanomechanics,17,Nightshade,,,,
,,White,chromatic,arcane,brutish and predatory survivalists,6,Arcane Artifice and Enchantment Studies,14,Elysium,,,,
,,Red,chromatic,arcane,proud and arrogant,3,Ancient Relics and Artifacts: ,15,Seraphic,,,,
,,Topaz,jewel,arcane,selfish and unsociable,12,Elemental Binding,15,Seraphic,,,,
,,Red,chromatic,arcane,proud and arrogant,8,Political Intrigue and Diplomacy,11,Sunfire,,,,
,,Green,chromatic,arcane,obessive and meticulous scholars,11,Arcanomechanics,7,Starlight,,,,
,,Etheric,esoteric,Occult,pragmatic survivalists,5,Mineral Extraction & Refinement,4,Wisp,,,,
,,Forest,imperial,primal,guardians of nature,1,Prophecy,4,Wisp,,,,
,,Silver,metallic,divine,"chivalrous champions of justice, guardians and guides of goodly societies",3,Ancient Relics and Artifacts: ,4,Wisp,,,,
,,Silver,metallic,divine,"chivalrous champions of justice, guardians and guides of goodly societies",3,Ancient Relics and Artifacts: ,3,Stellar,,,,
,,Toadstool,leshy,primal,communal gourmands,11,Arcanomechanics,4,Wisp,,,,
,,Bronze,metallic,arcane,stoic scholars and guardians of lore,2,Dragon History,15,Seraphic,,,,
,,Blue,chromatic,arcane,poised cosmopolitan manipulators,12,Elemental Binding,20,Whisper,,,,
,,Red,chromatic,arcane,proud and arrogant,4,Economic Dominance and Resource Management,7,Starlight,,,,
,,Bronze,metallic,arcane,stoic scholars and guardians of lore,4,Economic Dominance and Resource Management,20,Whisper,,,,
,,Cloud,primal,primal,wander & exlpore,5,Mineral Extraction & Refinement,14,Elysium,,,,
,,Copper,metallic,arcane,prankster & hedonist,9,Magical Theory and Application,1,Exalted,,,,
,,Silver,metallic,divine,"chivalrous champions of justice, guardians and guides of goodly societies",5,Mineral Extraction & Refinement,6,Eclipse,,,,
,,Brass,metallic,arcane,curious & short attention span,4,Economic Dominance and Resource Management,6,Eclipse,,,,
,,Gold,metallic,divine,wise counselor and leader,4,Economic Dominance and Resource Management,20,Whisper,,,,
,,Sky,imperial,divine,religious traditionalist,12,Elemental Binding,13,Nova,,,,
,,Blue,chromatic,arcane,poised cosmopolitan manipulators,5,Mineral Extraction & Refinement,11,Sunfire,,,,
,,Blue,chromatic,arcane,poised cosmopolitan manipulators,3,Ancient Relics and Artifacts: ,13,Nova,,,,
,,Copper,metallic,arcane,prankster & hedonist,1,Prophecy,1,Exalted,,,,
,,Green,chromatic,arcane,obessive and meticulous scholars,10,Eldritch Engineering,1,Exalted,,,,
,,Blue,chromatic,arcane,poised cosmopolitan manipulators,1,Prophecy,11,Sunfire,,,,
,,Black,chromatic,arcane,loaners with mean streaks & like swamps,6,Arcane Artifice and Enchantment Studies,1,Exalted,,,,
,,Bronze,metallic,arcane,stoic scholars and guardians of lore,9,Magical Theory and Application,1,Exalted,,,,
,,Cerulean,wild,arcane,explorers and adventurers,7,Planar Studies,19,Shadow,,,,
